date,eq_oneshot,eq_rolling,pos_oneshot,pos_rolling
2024-02-01,1.0,1.0,0.0,0.0
2024-02-02,1.0,1.0,0.0,0.0
2024-02-05,1.0,1.0,0.0,0.0
2024-02-06,1.0,1.0,0.0,0.0
2024-02-07,1.0,1.0,0.0,0.0
2024-02-08,1.0,1.0,0.0,0.0
2024-02-19,1.0,1.0,0.0,0.0
2024-02-20,1.0,1.0,0.0,0.0
2024-02-21,1.0,1.0,0.0,0.0
2024-02-22,1.0,1.0,0.0,0.0
2024-02-23,1.0139961592944466,1.0139961592944466,0.5,0.5
2024-02-26,1.0146149879929025,1.0146149879929025,1.0,1.0
2024-02-27,1.0344938648368145,1.0344938648368145,0.5,0.5
2024-02-28,1.038552340569341,1.038552340569341,1.0,1.0
2024-02-29,1.0689972603110074,1.0689972603110074,0.25,0.25
2024-03-01,1.0683819264981482,1.0683819264981482,0.5,0.5
2024-03-04,1.060355810182474,1.060355810182474,0.5,0.5
2024-03-05,1.0475080637583798,1.0475080637583798,0.25,0.25
2024-03-06,1.0532900499371132,1.0532900499371132,0.25,0.25
2024-03-07,1.0445448266570923,1.0445448266570923,0.5,0.5
2024-03-08,1.046162721103436,1.046162721103436,0.5,0.5
2024-03-11,1.060488886404491,1.060488886404491,0.5,0.5
2024-03-12,1.076127692948775,1.076127692948775,0.5,0.5
2024-03-13,1.0714454649904788,1.0714454649904788,0.5,0.5
2024-03-14,1.0583439365171965,1.0583439365171965,0.25,0.25
2024-03-15,1.0652863591928152,1.0652863591928152,0.25,0.25
2024-03-18,1.0695757849358343,1.0695757849358343,0.25,0.25
2024-03-19,1.0651119739828434,1.0651119739828434,0.25,0.25
2024-03-20,1.067825119330101,1.067825119330101,0.15,0.15
2024-03-21,1.068051898115926,1.068051898115926,0.15,0.15
2024-03-22,1.0639330631668609,1.0639330631668609,0.15,0.15
2024-03-25,1.0594230742786015,1.0594230742786015,0.075,0.075
2024-03-26,1.0599700922501643,1.0599700922501643,0.0525,0.0525
2024-03-27,1.057884212428041,1.057884212428041,0.175,0.175
2024-03-28,1.057350018599691,1.057350018599691,0.24499999999999997,0.24499999999999997
2024-03-29,1.0539110397888276,1.0539110397888276,0.24499999999999997,0.24499999999999997
2024-04-01,1.0732286654507799,1.0732286654507799,0.35,0.35
2024-04-02,1.0642459480037276,1.0642459480037276,0.5,0.5
2024-04-03,1.067631621825617,1.067631621825617,0.35,0.35
2024-04-08,1.073295694402056,1.073295694402056,0.35,0.35
2024-04-09,1.0754571754947804,1.0754571754947804,0.35,0.35
2024-04-10,1.0813695693241472,1.0813695693241472,0.35,0.35
2024-04-11,1.070039238319225,1.070039238319225,0.35,0.35
2024-04-12,1.0637753062976714,1.0637753062976714,0.0,0.0
2024-04-15,1.0637753062976714,1.0637753062976714,0.0,0.0
2024-04-16,1.0637753062976714,1.0637753062976714,0.0,0.0
2024-04-17,1.0637753062976714,1.0637753062976714,0.0,0.0
2024-04-18,1.0637753062976714,1.0637753062976714,0.0,0.0
2024-04-19,1.0637753062976714,1.0637753062976714,0.0,0.0
2024-04-22,1.0637753062976714,1.0637753062976714,0.0,0.0
2024-04-23,1.0637753062976714,1.0637753062976714,0.0,0.0
