date,T1_equity,T2_equity,T1_pos,T2_pos
2024-02-01,1.0,1.0,0.0,0.0
2024-02-02,1.0,1.0,0.0,0.0
2024-02-05,1.0,1.0,0.0,0.0
2024-02-06,1.0,1.0,0.0,0.0
2024-02-07,1.0,1.0,0.0,0.0
2024-02-08,1.0,1.0,0.0,0.0
2024-02-19,1.0,1.0,0.0,0.0
2024-02-20,1.0,1.0,0.0,0.0
2024-02-21,1.0,1.0,0.0,0.0
2024-02-22,1.0,1.0,0.0,0.0
2024-02-23,1.0394987199180747,1.0394987199180747,1.0,1.0
2024-02-26,1.044604312844981,1.044604312844981,1.0,1.0
2024-02-27,1.0890229713090636,1.0890229713090636,1.0,1.0
2024-02-28,1.10280807221171,1.10280807221171,1.0,1.0
2024-02-29,1.1583365008847402,1.1583365008847402,0.5,0.5
2024-03-01,1.1590283931570806,1.1590283931570806,1.0,1.0
2024-03-04,1.14107776505042,1.14107776505042,1.0,1.0
2024-03-05,1.1100144456878995,1.1100144456878995,0.5,0.5
2024-03-06,1.1222042054007428,1.1222042054007428,0.5,0.5
2024-03-07,1.1106770025540387,1.1106770025540387,1.0,1.0
2024-03-08,1.1141171525619495,1.1141171525619495,1.0,1.0
2024-03-11,1.1440956026308862,1.1440956026308862,1.0,1.0
2024-03-12,1.1780056527088634,1.1780056527088634,1.0,1.0
2024-03-13,1.1676852026851312,1.1676852026851312,1.0,1.0
2024-03-14,1.1330065248053864,1.1330065248053864,0.5,0.5
2024-03-15,1.147914505394931,1.147914505394931,0.5,0.5
2024-03-18,1.1571437180632518,1.1571437180632518,0.5,0.5
2024-03-19,1.1474926049314154,1.1474926049314154,0.5,0.5
2024-03-20,1.168232073819544,1.168232073819544,1.0,1.0
2024-03-21,1.1697272513884258,1.1697272513884258,1.0,1.0
2024-03-22,1.1398237000107925,1.1398237000107925,1.0,1.0
2024-03-25,1.1034756841150177,1.1034756841150177,0.5,0.5
2024-03-26,1.1065751767558647,1.1065751767558647,0.35,0.35
2024-03-27,1.1065751767558647,1.1065751767558647,0.35,0.35
2024-03-28,1.1066106198279466,1.1066106198279466,0.48999999999999994,0.48999999999999994
2024-03-29,1.099364105123912,1.099364105123912,0.48999999999999994,0.48999999999999994
2024-04-01,1.138569026040406,1.1272923693358174,0.7,0.48999999999999994
2024-04-02,1.1213657131917063,1.1153693203149289,1.0,0.7
2024-04-03,1.126013824584855,1.1186055995671256,0.7,0.48999999999999994
2024-04-08,1.1379991237910803,1.1269401117714137,0.7,0.48999999999999994
2024-04-09,1.1425611467102428,1.1307478289358524,0.7,0.7
2024-04-10,1.1551728597619721,1.143229145313068,0.7,0.7
2024-04-11,1.1311129851925443,1.1194180337483328,0.7,0.7
2024-04-12,1.12873764792364,1.1170672558774613,0.0,0.0
2024-04-15,1.12873764792364,1.1170672558774613,0.0,0.0
2024-04-16,1.12873764792364,1.1170672558774613,0.0,0.0
2024-04-17,1.12873764792364,1.1170672558774613,0.0,0.0
2024-04-18,1.12873764792364,1.1170672558774613,0.0,0.0
2024-04-19,1.12873764792364,1.1170672558774613,0.0,0.0
2024-04-22,1.12873764792364,1.1170672558774613,0.0,0.0
2024-04-23,1.12873764792364,1.1170672558774613,0.0,0.0
